value,U,P,Cohen_d,CI_95_low,CI_95_high,n_a,n_b,FDR
OLFML3,4078.0,6.333495773909037e-06,0.6462508419972252,0.4600976180438424,0.9722294028866425,62,92,0.00012666991547818072
ANGPTL4,3933.0,6.86928249551877e-05,0.4383568885759943,0.09672428570095741,0.7658424006235152,62,92,0.0006869282495518769
MKI67,3897.0,0.00011904990346322032,0.7173447803052212,0.5002903566973094,1.002683636265008,62,92,0.0007936660230881355
ANXA1,2016.0,0.0020833121419544624,-0.48592201366182763,-0.8067273051463524,-0.16718256211370533,62,92,0.010416560709772312
DNASE1L3,2127.0,0.00760428905287457,-0.3398497791027217,-0.6065172492800874,-0.0339448569908039,62,92,0.03041715621149828
FABP4,2175.0,0.012448666521920414,-0.2795610173162955,-0.4506605394608818,-0.18139388898106265,62,92,0.04149555507306805
STAC,3435.5,0.031725681798361646,0.17523577883210628,-0.11383412336864802,0.5749864852670155,62,92,0.08811094568154565
CXCR2,3424.0,0.03524437827261826,0.19279859051830195,-0.13142344209418474,0.5049117915732699,62,92,0.08811094568154565
SPI1,3405.0,0.04180238298687466,0.31905692163995153,-0.016151200976379322,0.6438244569077839,62,92,0.09289418441527701
CD177,3381.0,0.048412778715096645,-0.060568274338123264,-0.23564622298239662,0.4503925655329353,62,92,0.09682555743019329
S100A9,3342.0,0.07132825484163198,0.2401035995037041,-0.06581336904555346,0.5709623029282807,62,92,0.1227865691388302
S100A8,3338.0,0.07367194148329811,0.20250588663037103,-0.09117902755085538,0.5846531792453706,62,92,0.1227865691388302
FCGBP,3289.0,0.10778192009584732,0.5913698850838751,0.3811422118182788,0.8040794305317132,62,92,0.16581833860899586
CEBPB,3245.0,0.1481712403604508,0.3308202870926972,0.010793398382204888,0.6774622383088645,62,92,0.21167320051492972
PHLDA3,2646.0,0.4489966424521272,-0.18533263141815434,-0.3529848696868883,0.14588620441434685,62,92,0.5986621899361696
ITGB8,3008.0,0.5667243857061799,-0.2290600995077371,-0.423177961360473,0.04188987168852926,62,92,0.7057471277522909
ALPL,2979.5,0.6395528224077724,-0.02444254059763811,-0.22648841035125383,0.42977639538546103,62,92,0.7057471277522909
S100A12,2736.0,0.6704597713646763,-0.11810008026946302,-0.38773135005984144,0.22535350340180726,62,92,0.7057471277522909
PPARG,2981.0,0.6359201403052165,-0.016197506383234955,-0.272744842333057,0.38800373791356707,62,92,0.7057471277522909
PROK2,2931.0,0.7724247154289614,-0.04906863882895901,-0.25234815782970943,0.37826728774040963,62,92,0.7724247154289614
